age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,nr.employed,y
41,blue-collar,married,basic.9y,,no,no,cellular,jul,mon,3,999,0,nonexistent,93.918,-42.7,5228.1,0
28,blue-collar,single,high.school,no,no,no,telephone,jun,thu,1,999,0,nonexistent,94.465,-41.8,5228.1,0
54,services,divorced,university.degree,no,yes,no,cellular,may,tue,1,999,1,failure,92.893,-46.2,5099.1,0
39,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,3,999,0,nonexistent,92.893,-46.2,5099.1,0
30,technician,married,high.school,no,no,no,cellular,aug,tue,1,999,0,nonexistent,93.444,-36.1,5228.1,0
30,blue-collar,married,high.school,no,yes,yes,cellular,nov,thu,2,999,0,nonexistent,93.2,-42.0,5195.8,1
33,housemaid,single,university.degree,,yes,no,cellular,aug,wed,3,999,0,nonexistent,93.444,-36.1,5228.1,0
28,technician,single,university.degree,no,no,no,cellular,jul,fri,3,999,0,nonexistent,93.918,-42.7,5228.1,0
54,blue-collar,married,basic.4y,,no,no,cellular,jul,fri,1,999,0,nonexistent,93.918,-42.7,5228.1,0
59,management,married,university.degree,no,no,no,cellular,dec,thu,4,999,1,failure,92.713,-33.0,5023.5,0
29,admin.,single,basic.9y,no,yes,no,cellular,may,thu,1,999,0,nonexistent,92.893,-46.2,5099.1,0
32,admin.,married,university.degree,no,no,yes,telephone,may,tue,3,999,0,nonexistent,93.994,-36.4,5191.0,0
48,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
27,blue-collar,single,basic.4y,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,93.075,-47.1,5099.1,0
42,,single,university.degree,no,yes,no,cellular,jul,fri,1,999,2,failure,94.215,-40.3,4991.6,1
49,technician,married,professional.course,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,93.918,-42.7,5228.1,0
40,management,married,high.school,no,yes,yes,telephone,may,tue,2,999,0,nonexistent,93.994,-36.4,5191.0,0
44,admin.,divorced,high.school,no,no,yes,cellular,jul,tue,4,999,0,nonexistent,92.469,-33.6,5076.2,0
48,services,married,professional.course,,yes,yes,cellular,jul,wed,2,999,0,nonexistent,93.918,-42.7,5228.1,0
41,technician,married,university.degree,no,yes,yes,cellular,nov,fri,2,999,0,nonexistent,93.2,-42.0,5195.8,0
39,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,93.918,-42.7,5228.1,0
47,services,married,high.school,no,,,telephone,may,thu,2,999,0,nonexistent,93.994,-36.4,5191.0,0
38,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,3,999,0,nonexistent,93.994,-36.4,5191.0,0
53,services,married,basic.9y,,yes,no,cellular,aug,mon,1,999,0,nonexistent,93.444,-36.1,5228.1,0
36,admin.,married,high.school,,yes,yes,cellular,may,mon,4,999,0,nonexistent,92.893,-46.2,5099.1,0
37,admin.,married,university.degree,no,yes,yes,cellular,nov,fri,1,999,0,nonexistent,93.2,-42.0,5195.8,0
48,admin.,single,university.degree,no,yes,no,cellular,mar,tue,1,999,0,nonexistent,92.843,-50.0,5099.1,0
37,blue-collar,married,basic.9y,,no,no,cellular,jul,fri,2,999,0,nonexistent,93.918,-42.7,5228.1,0
38,services,married,high.school,no,yes,no,cellular,apr,wed,2,999,0,nonexistent,93.075,-47.1,5099.1,0
36,unemployed,single,basic.4y,,yes,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
31,admin.,married,university.degree,no,yes,no,telephone,nov,mon,1,999,0,nonexistent,93.2,-42.0,5195.8,0
44,admin.,married,university.degree,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,92.201,-31.4,5076.2,0
34,,single,university.degree,no,no,no,telephone,oct,wed,1,999,0,nonexistent,92.431,-26.9,5017.5,0
40,management,married,university.degree,no,no,no,cellular,aug,fri,3,999,0,nonexistent,93.444,-36.1,5228.1,0
30,technician,single,university.degree,no,no,no,cellular,nov,thu,3,999,0,nonexistent,93.2,-42.0,5195.8,0
33,admin.,single,university.degree,no,yes,no,cellular,may,tue,1,999,2,failure,92.893,-46.2,5099.1,0
32,admin.,single,university.degree,no,no,no,cellular,aug,wed,1,999,0,nonexistent,93.444,-36.1,5228.1,0
46,technician,married,basic.9y,no,yes,no,cellular,nov,tue,1,999,1,failure,93.2,-42.0,5195.8,0
40,management,married,basic.6y,no,no,no,cellular,nov,mon,1,999,0,nonexistent,93.2,-42.0,5195.8,0
48,technician,married,university.degree,no,no,no,cellular,aug,tue,2,999,0,nonexistent,93.444,-36.1,5228.1,0
36,blue-collar,married,basic.9y,,yes,no,telephone,may,wed,1,999,1,failure,92.893,-46.2,5099.1,0
36,technician,divorced,professional.course,no,yes,yes,cellular,jul,mon,4,999,0,nonexistent,93.918,-42.7,5228.1,0
31,admin.,married,university.degree,no,no,no,telephone,jul,mon,1,999,0,nonexistent,94.215,-40.3,4991.6,0
51,entrepreneur,married,basic.6y,,no,no,cellular,jul,fri,2,999,0,nonexistent,93.918,-42.7,5228.1,0
37,admin.,single,university.degree,no,yes,yes,cellular,mar,mon,2,999,0,nonexistent,92.843,-50.0,5099.1,0
40,admin.,divorced,university.degree,no,yes,no,telephone,apr,mon,1,999,0,nonexistent,93.075,-47.1,5099.1,0
33,admin.,single,high.school,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,93.444,-36.1,5228.1,0
26,services,single,high.school,no,,,telephone,jul,wed,1,999,0,nonexistent,93.918,-42.7,5228.1,0
36,technician,married,high.school,no,no,no,cellular,jul,wed,4,999,0,nonexistent,93.918,-42.7,5228.1,0
27,technician,single,high.school,no,no,no,cellular,jul,fri,1,999,0,nonexistent,93.918,-42.7,5228.1,0
41,admin.,married,professional.course,no,no,no,cellular,apr,mon,2,999,0,nonexistent,93.075,-47.1,5099.1,0
49,management,married,university.degree,no,no,no,telephone,jun,mon,1,999,0,nonexistent,94.465,-41.8,5228.1,0
39,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,1,999,0,nonexistent,92.893,-46.2,5099.1,0
56,management,married,university.degree,,no,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
37,admin.,single,university.degree,no,yes,no,telephone,may,thu,2,999,0,nonexistent,93.994,-36.4,5191.0,1
39,self-employed,married,university.degree,,no,no,cellular,nov,wed,1,999,0,nonexistent,93.2,-42.0,5195.8,0
48,retired,married,basic.4y,,no,yes,cellular,jul,mon,2,999,0,nonexistent,93.918,-42.7,5228.1,0
41,management,divorced,basic.9y,no,yes,yes,telephone,may,mon,2,999,0,nonexistent,93.994,-36.4,5191.0,0
42,blue-collar,married,,,no,yes,cellular,may,thu,3,999,1,failure,92.893,-46.2,5099.1,0
21,student,single,high.school,no,no,no,cellular,apr,mon,4,999,1,failure,93.075,-47.1,5099.1,0
33,management,married,university.degree,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,93.2,-42.0,5195.8,0
28,student,single,university.degree,no,,,cellular,may,fri,3,3,2,success,93.876,-40.0,5008.7,1
37,admin.,single,university.degree,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,93.2,-42.0,5195.8,0
41,admin.,married,basic.9y,,no,no,cellular,jul,fri,3,999,0,nonexistent,93.918,-42.7,5228.1,0
39,admin.,single,high.school,no,yes,no,cellular,oct,fri,1,999,0,nonexistent,92.431,-26.9,5017.5,0
25,services,single,high.school,no,yes,no,telephone,oct,thu,1,999,0,nonexistent,93.798,-40.4,5195.8,1
41,management,married,university.degree,no,no,no,telephone,jun,tue,6,999,0,nonexistent,94.465,-41.8,5228.1,0
29,technician,single,high.school,no,no,no,cellular,aug,thu,4,999,0,nonexistent,93.444,-36.1,5228.1,0
28,blue-collar,single,high.school,no,yes,no,cellular,jul,wed,2,999,0,nonexistent,93.918,-42.7,5228.1,0
50,admin.,married,high.school,,no,no,telephone,may,tue,3,999,0,nonexistent,93.994,-36.4,5191.0,0
33,admin.,divorced,university.degree,no,no,no,telephone,may,fri,4,999,0,nonexistent,93.994,-36.4,5191.0,0
43,admin.,married,high.school,no,yes,no,cellular,aug,mon,1,999,0,nonexistent,93.444,-36.1,5228.1,0
53,,married,high.school,,no,no,telephone,jun,mon,2,999,0,nonexistent,94.465,-41.8,5228.1,0
40,blue-collar,divorced,basic.9y,no,no,no,telephone,jul,wed,3,999,0,nonexistent,93.918,-42.7,5228.1,0
31,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,2,999,0,nonexistent,93.994,-36.4,5191.0,0
35,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,2,999,0,nonexistent,93.994,-36.4,5191.0,0
47,services,married,high.school,no,no,yes,cellular,may,fri,1,999,0,nonexistent,92.893,-46.2,5099.1,0
46,technician,married,university.degree,no,no,no,cellular,aug,fri,3,999,0,nonexistent,93.444,-36.1,5228.1,0
80,retired,divorced,basic.4y,no,no,yes,cellular,dec,fri,5,999,1,failure,92.713,-33.0,5023.5,0
40,unemployed,divorced,basic.4y,no,no,no,cellular,nov,tue,1,999,0,nonexistent,92.649,-30.1,5017.5,0
56,housemaid,divorced,basic.4y,,yes,no,telephone,jun,tue,5,999,0,nonexistent,94.465,-41.8,5228.1,0
64,retired,married,,no,yes,yes,cellular,aug,fri,1,999,1,failure,92.201,-31.4,5076.2,0
29,services,single,university.degree,no,no,no,cellular,jul,fri,1,999,0,nonexistent,93.918,-42.7,5228.1,0
39,admin.,married,high.school,no,no,no,cellular,nov,wed,1,999,0,nonexistent,93.2,-42.0,5195.8,0
44,services,married,,no,no,yes,cellular,jun,mon,1,999,0,nonexistent,92.963,-40.8,5076.2,1
46,technician,married,basic.9y,,yes,no,cellular,jul,tue,1,999,0,nonexistent,93.918,-42.7,5228.1,0
37,blue-collar,single,high.school,no,no,no,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
28,admin.,married,university.degree,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,93.075,-47.1,5099.1,0
32,technician,married,professional.course,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,93.2,-42.0,5195.8,0
52,unemployed,married,high.school,,yes,no,telephone,may,mon,1,999,0,nonexistent,93.994,-36.4,5191.0,0
27,admin.,married,high.school,no,no,yes,cellular,may,thu,1,999,1,failure,92.893,-46.2,5099.1,0
34,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,93.075,-47.1,5099.1,0
35,admin.,married,university.degree,no,no,no,cellular,nov,mon,1,999,0,nonexistent,93.2,-42.0,5195.8,0
47,admin.,married,high.school,,no,no,cellular,aug,fri,3,999,0,nonexistent,93.444,-36.1,5228.1,0
27,self-employed,single,university.degree,no,no,no,cellular,may,thu,1,999,0,nonexistent,92.893,-46.2,5099.1,0
31,admin.,married,university.degree,no,no,no,cellular,aug,wed,1,999,0,nonexistent,93.444,-36.1,5228.1,0
58,housemaid,married,basic.4y,no,no,no,telephone,may,wed,2,999,0,nonexistent,92.893,-46.2,5099.1,1
29,admin.,single,high.school,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,92.201,-31.4,5076.2,0
43,management,married,university.degree,no,yes,yes,cellular,apr,mon,5,999,0,nonexistent,93.075,-47.1,5099.1,0
44,blue-collar,married,basic.6y,no,yes,yes,cellular,nov,fri,2,999,0,nonexistent,93.2,-42.0,5195.8,0
40,blue-collar,married,basic.6y,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,93.918,-42.7,5228.1,0
34,admin.,married,professional.course,no,yes,yes,cellular,may,mon,1,999,0,nonexistent,92.893,-46.2,5099.1,0
36,blue-collar,married,basic.9y,,yes,yes,telephone,may,fri,4,999,0,nonexistent,93.994,-36.4,5191.0,0
31,admin.,married,university.degree,no,yes,no,cellular,sep,fri,2,13,1,success,94.199,-37.5,4963.6,1
41,management,married,,no,no,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
50,housemaid,married,basic.6y,no,no,no,cellular,jul,thu,3,6,2,success,94.215,-40.3,4991.6,1
57,admin.,married,university.degree,no,no,yes,telephone,jun,thu,1,999,0,nonexistent,94.465,-41.8,5228.1,0
33,admin.,married,university.degree,no,no,no,cellular,may,mon,2,15,3,failure,93.876,-40.0,5008.7,0
36,blue-collar,single,basic.6y,no,yes,no,cellular,may,thu,1,999,0,nonexistent,92.893,-46.2,5099.1,0
38,management,married,university.degree,no,no,no,cellular,nov,mon,2,999,0,nonexistent,93.2,-42.0,5195.8,0
45,technician,married,high.school,no,yes,no,telephone,may,fri,9,999,0,nonexistent,93.994,-36.4,5191.0,0
39,technician,single,high.school,no,no,no,cellular,aug,mon,3,999,0,nonexistent,93.444,-36.1,5228.1,0
46,technician,married,basic.6y,,yes,no,cellular,apr,wed,2,999,0,nonexistent,93.075,-47.1,5099.1,1
37,self-employed,married,university.degree,no,yes,yes,cellular,aug,wed,2,999,0,nonexistent,93.444,-36.1,5228.1,0
25,technician,married,university.degree,no,no,no,cellular,may,mon,1,999,2,failure,92.893,-46.2,5099.1,0
54,technician,married,high.school,no,no,no,telephone,jun,fri,2,999,0,nonexistent,94.465,-41.8,5228.1,0
34,technician,married,professional.course,no,no,no,cellular,aug,fri,1,999,0,nonexistent,93.444,-36.1,5228.1,0
32,blue-collar,married,basic.9y,,no,no,telephone,jul,tue,5,999,0,nonexistent,93.918,-42.7,5228.1,0
45,admin.,single,professional.course,no,yes,no,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,1
35,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,1,999,0,nonexistent,92.893,-46.2,5099.1,0
57,housemaid,married,basic.4y,no,yes,no,telephone,jun,mon,2,999,0,nonexistent,94.465,-41.8,5228.1,0
37,admin.,single,high.school,no,no,no,telephone,oct,thu,1,3,1,success,94.601,-49.5,4963.6,1
35,admin.,single,basic.4y,,yes,no,telephone,jun,mon,1,999,0,nonexistent,94.465,-41.8,5228.1,0
31,blue-collar,married,basic.9y,no,no,yes,telephone,may,wed,2,999,0,nonexistent,93.994,-36.4,5191.0,0
28,technician,single,university.degree,no,no,no,telephone,jun,mon,2,999,0,nonexistent,94.465,-41.8,5228.1,0
28,student,single,university.degree,,yes,no,telephone,may,mon,1,999,0,nonexistent,93.994,-36.4,5191.0,0
38,technician,married,professional.course,no,no,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
44,technician,divorced,professional.course,no,no,no,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
33,management,married,professional.course,no,no,no,telephone,may,tue,2,999,0,nonexistent,93.994,-36.4,5191.0,0
42,technician,single,,no,yes,no,cellular,aug,tue,1,999,1,failure,92.201,-31.4,5076.2,0
41,management,married,university.degree,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,93.2,-42.0,5195.8,0
41,admin.,single,high.school,no,yes,yes,telephone,may,wed,2,999,0,nonexistent,93.994,-36.4,5191.0,0
37,services,divorced,high.school,no,yes,yes,telephone,may,mon,4,999,0,nonexistent,93.994,-36.4,5191.0,0
46,blue-collar,married,basic.9y,,no,no,telephone,may,mon,3,999,0,nonexistent,93.994,-36.4,5191.0,0
42,blue-collar,married,basic.9y,,yes,no,telephone,may,tue,3,999,0,nonexistent,93.994,-36.4,5191.0,0
47,blue-collar,single,basic.4y,,no,no,telephone,jun,wed,1,999,0,nonexistent,94.465,-41.8,5228.1,0
25,management,single,university.degree,no,no,no,cellular,jul,tue,3,999,0,nonexistent,93.918,-42.7,5228.1,0
29,blue-collar,married,,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,93.918,-42.7,5228.1,0
51,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,1,999,1,failure,92.893,-46.2,5099.1,0
40,blue-collar,married,basic.6y,,no,no,telephone,may,tue,2,999,0,nonexistent,93.994,-36.4,5191.0,0
33,services,single,high.school,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,93.2,-42.0,5195.8,0
40,blue-collar,married,,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,93.994,-36.4,5191.0,0
52,admin.,married,university.degree,no,yes,yes,cellular,jun,wed,2,999,0,nonexistent,92.963,-40.8,5076.2,1
50,entrepreneur,married,basic.9y,no,yes,no,telephone,may,thu,3,999,0,nonexistent,93.994,-36.4,5191.0,0
41,,married,,no,no,no,cellular,aug,mon,2,999,0,nonexistent,93.444,-36.1,5228.1,0
40,services,married,high.school,,yes,no,cellular,apr,mon,1,999,0,nonexistent,93.075,-47.1,5099.1,0
39,admin.,married,professional.course,no,no,no,telephone,oct,tue,2,999,0,nonexistent,92.431,-26.9,5017.5,0
37,,single,university.degree,no,yes,yes,cellular,sep,wed,1,999,1,failure,92.379,-29.8,5017.5,0
50,blue-collar,married,basic.9y,,yes,no,telephone,jul,fri,9,999,0,nonexistent,93.918,-42.7,5228.1,0
76,retired,divorced,basic.4y,no,no,no,cellular,aug,tue,1,999,1,failure,94.027,-38.3,4991.6,1
34,services,divorced,professional.course,,yes,no,telephone,may,thu,1,999,0,nonexistent,93.994,-36.4,5191.0,0
39,admin.,single,university.degree,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,93.444,-36.1,5228.1,0
33,admin.,single,university.degree,,no,yes,cellular,apr,fri,1,999,0,nonexistent,93.075,-47.1,5099.1,1
34,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,2,11,1,success,92.893,-46.2,5099.1,0
43,admin.,divorced,high.school,no,yes,no,telephone,may,mon,8,999,0,nonexistent,92.893,-46.2,5099.1,0
58,management,married,basic.6y,,no,no,cellular,may,wed,2,999,1,failure,92.893,-46.2,5099.1,0
30,technician,married,professional.course,no,no,no,telephone,may,thu,2,999,0,nonexistent,93.994,-36.4,5191.0,0
41,technician,divorced,professional.course,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,93.075,-47.1,5099.1,1
48,blue-collar,married,professional.course,no,no,no,telephone,may,fri,4,999,0,nonexistent,93.994,-36.4,5191.0,0
26,blue-collar,single,basic.9y,no,no,no,cellular,may,thu,2,999,0,nonexistent,92.893,-46.2,5099.1,0
55,entrepreneur,single,,,no,no,telephone,jul,wed,1,999,0,nonexistent,93.918,-42.7,5228.1,1
33,technician,single,professional.course,no,yes,no,cellular,sep,fri,1,999,0,nonexistent,94.199,-37.5,4963.6,1
30,admin.,single,university.degree,no,no,no,cellular,jul,thu,2,999,0,nonexistent,93.918,-42.7,5228.1,0
40,student,single,high.school,no,yes,no,cellular,may,tue,1,999,0,nonexistent,92.893,-46.2,5099.1,0
27,admin.,single,university.degree,no,no,no,cellular,oct,mon,1,999,0,nonexistent,94.601,-49.5,4963.6,1
30,technician,single,university.degree,,no,no,cellular,aug,mon,2,999,0,nonexistent,93.444,-36.1,5228.1,0
49,unemployed,married,high.school,,no,no,cellular,aug,fri,2,999,0,nonexistent,93.444,-36.1,5228.1,0
43,management,married,university.degree,,no,no,cellular,jul,mon,1,999,0,nonexistent,93.918,-42.7,5228.1,0
26,self-employed,married,university.degree,no,yes,no,telephone,jun,tue,1,999,0,nonexistent,94.465,-41.8,5228.1,0
35,technician,single,university.degree,no,no,no,telephone,jul,fri,9,999,0,nonexistent,93.918,-42.7,5228.1,0
32,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,11,999,0,nonexistent,92.893,-46.2,5099.1,0
36,blue-collar,single,basic.9y,,,,telephone,jun,fri,3,999,0,nonexistent,94.465,-41.8,5228.1,0
28,admin.,single,university.degree,no,yes,no,telephone,may,fri,1,999,0,nonexistent,93.994,-36.4,5191.0,0
30,admin.,married,high.school,,no,yes,cellular,aug,thu,1,999,0,nonexistent,93.444,-36.1,5228.1,0
36,admin.,single,university.degree,no,no,no,cellular,aug,fri,3,999,0,nonexistent,93.444,-36.1,5228.1,0
46,management,married,basic.6y,no,no,no,cellular,may,mon,1,999,0,nonexistent,92.893,-46.2,5099.1,1
34,admin.,married,university.degree,no,no,yes,cellular,jul,tue,4,999,1,failure,92.469,-33.6,5076.2,0
33,admin.,single,university.degree,no,yes,no,telephone,may,fri,2,999,0,nonexistent,93.994,-36.4,5191.0,0
31,technician,single,university.degree,no,no,no,cellular,jul,thu,4,999,1,failure,94.215,-40.3,4991.6,1
46,housemaid,married,high.school,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,92.201,-31.4,5076.2,1
31,self-employed,married,university.degree,no,yes,no,telephone,nov,mon,1,999,0,nonexistent,93.2,-42.0,5195.8,0
45,technician,married,high.school,no,yes,no,telephone,may,tue,3,999,0,nonexistent,93.994,-36.4,5191.0,0
48,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,2,999,0,nonexistent,93.994,-36.4,5191.0,0
38,admin.,single,university.degree,no,yes,no,cellular,nov,wed,6,999,0,nonexistent,93.2,-42.0,5195.8,0
23,technician,single,professional.course,no,yes,no,cellular,nov,thu,5,9,2,failure,92.649,-30.1,5017.5,0
36,technician,married,high.school,no,yes,no,telephone,may,mon,5,999,0,nonexistent,93.994,-36.4,5191.0,0
47,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,1,999,0,nonexistent,93.075,-47.1,5099.1,0
20,student,single,high.school,no,yes,no,cellular,apr,thu,4,999,1,failure,93.075,-47.1,5099.1,0
30,admin.,single,high.school,no,no,no,telephone,may,thu,3,999,0,nonexistent,93.994,-36.4,5191.0,0
51,blue-collar,married,basic.9y,,,,telephone,may,tue,2,999,0,nonexistent,93.994,-36.4,5191.0,0
28,entrepreneur,married,high.school,no,yes,no,cellular,may,thu,6,999,0,nonexistent,92.893,-46.2,5099.1,0
33,technician,single,university.degree,no,yes,yes,cellular,aug,tue,3,999,0,nonexistent,93.444,-36.1,5228.1,0
44,blue-collar,married,basic.9y,no,no,no,cellular,aug,thu,1,999,0,nonexistent,93.444,-36.1,5228.1,1
75,retired,married,basic.9y,no,no,no,cellular,mar,mon,2,999,1,failure,93.369,-34.8,5008.7,1
43,admin.,single,university.degree,no,yes,no,cellular,jul,mon,6,999,0,nonexistent,93.918,-42.7,5228.1,0
31,technician,single,high.school,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,93.444,-36.1,5228.1,0
34,services,married,high.school,,no,no,telephone,jun,fri,2,999,0,nonexistent,94.465,-41.8,5228.1,0
32,blue-collar,single,basic.9y,no,no,no,cellular,nov,thu,5,999,0,nonexistent,93.2,-42.0,5195.8,0
50,admin.,single,university.degree,no,no,no,cellular,jul,wed,1,999,0,nonexistent,93.918,-42.7,5228.1,0
45,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,1,999,1,failure,93.2,-42.0,5195.8,0
40,housemaid,married,high.school,,yes,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
58,blue-collar,married,basic.4y,,yes,yes,telephone,may,thu,10,999,0,nonexistent,93.994,-36.4,5191.0,0
33,technician,divorced,high.school,no,no,no,cellular,may,tue,1,999,1,failure,92.893,-46.2,5099.1,0
43,admin.,married,,no,yes,no,telephone,jun,fri,3,999,0,nonexistent,94.465,-41.8,5228.1,0
45,technician,divorced,professional.course,no,no,no,cellular,aug,thu,3,999,0,nonexistent,93.444,-36.1,5228.1,0
34,technician,married,university.degree,no,no,yes,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
31,admin.,divorced,university.degree,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,93.2,-42.0,5195.8,0
47,services,married,high.school,,no,no,cellular,aug,thu,3,999,0,nonexistent,93.444,-36.1,5228.1,0
45,admin.,married,high.school,no,no,no,cellular,apr,fri,1,999,0,nonexistent,93.075,-47.1,5099.1,0
35,technician,married,university.degree,no,yes,no,cellular,apr,mon,3,999,0,nonexistent,93.075,-47.1,5099.1,0
33,admin.,single,high.school,no,no,no,cellular,may,fri,11,999,0,nonexistent,92.893,-46.2,5099.1,0
34,admin.,divorced,basic.6y,no,no,no,telephone,may,fri,2,999,0,nonexistent,93.994,-36.4,5191.0,0
29,admin.,single,high.school,no,yes,yes,telephone,jun,thu,10,999,0,nonexistent,94.465,-41.8,5228.1,0
58,blue-collar,married,basic.4y,no,no,no,telephone,jun,mon,2,999,0,nonexistent,94.465,-41.8,5228.1,0
43,admin.,married,university.degree,,yes,no,cellular,aug,thu,6,999,0,nonexistent,93.444,-36.1,5228.1,0
36,unemployed,divorced,high.school,no,no,no,cellular,nov,mon,2,999,1,failure,93.2,-42.0,5195.8,0
33,technician,married,basic.9y,no,no,no,telephone,jun,mon,1,999,0,nonexistent,94.465,-41.8,5228.1,0
41,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,thu,1,999,0,nonexistent,92.893,-46.2,5099.1,0
31,admin.,single,high.school,no,no,no,cellular,aug,tue,1,999,1,failure,94.027,-38.3,4991.6,0
49,blue-collar,married,basic.6y,,yes,yes,telephone,may,wed,2,999,0,nonexistent,93.994,-36.4,5191.0,0
26,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,2,999,2,failure,92.893,-46.2,5099.1,0
60,admin.,married,university.degree,no,no,no,cellular,aug,fri,2,999,0,nonexistent,93.444,-36.1,5228.1,0
35,blue-collar,married,high.school,no,no,no,cellular,nov,mon,2,999,0,nonexistent,93.2,-42.0,5195.8,1
19,student,single,,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,93.075,-47.1,5099.1,1
36,admin.,married,university.degree,no,yes,no,cellular,oct,wed,1,999,1,failure,92.431,-26.9,5017.5,0
32,technician,single,university.degree,no,,,cellular,may,fri,1,999,0,nonexistent,92.893,-46.2,5099.1,0
32,services,married,professional.course,,yes,no,cellular,aug,thu,7,999,0,nonexistent,93.444,-36.1,5228.1,0
26,admin.,single,high.school,no,yes,no,telephone,may,mon,7,999,0,nonexistent,93.994,-36.4,5191.0,0
51,technician,married,professional.course,no,no,yes,telephone,may,thu,1,999,0,nonexistent,93.994,-36.4,5191.0,0
31,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,2,999,0,nonexistent,93.994,-36.4,5191.0,0
47,admin.,married,university.degree,,yes,no,cellular,aug,mon,1,999,0,nonexistent,93.444,-36.1,5228.1,0
34,blue-collar,married,basic.6y,no,no,no,cellular,may,wed,1,999,0,nonexistent,92.893,-46.2,5099.1,0
47,unemployed,married,professional.course,,yes,yes,cellular,aug,tue,1,999,0,nonexistent,93.444,-36.1,5228.1,0
34,admin.,married,high.school,no,no,no,telephone,jun,wed,1,999,0,nonexistent,94.465,-41.8,5228.1,1
27,admin.,married,high.school,,no,no,telephone,may,wed,3,999,0,nonexistent,93.994,-36.4,5191.0,0
34,admin.,single,professional.course,no,no,no,cellular,apr,wed,1,999,0,nonexistent,93.075,-47.1,5099.1,0
44,admin.,married,university.degree,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,93.918,-42.7,5228.1,0
43,blue-collar,married,basic.6y,no,yes,no,cellular,jun,mon,4,999,1,failure,92.963,-40.8,5076.2,1
27,admin.,married,high.school,no,yes,no,cellular,jul,mon,3,999,0,nonexistent,93.918,-42.7,5228.1,0
38,blue-collar,married,basic.9y,,no,no,telephone,jun,fri,5,999,0,nonexistent,94.465,-41.8,5228.1,0
38,student,single,,no,yes,no,cellular,mar,mon,1,11,1,success,93.369,-34.8,5008.7,0
30,admin.,married,university.degree,no,no,no,cellular,apr,wed,2,999,0,nonexistent,93.075,-47.1,5099.1,1
33,admin.,single,university.degree,no,no,no,cellular,aug,thu,1,999,0,nonexistent,92.201,-31.4,5076.2,0
36,entrepreneur,married,university.degree,no,yes,no,cellular,jul,wed,2,999,0,nonexistent,93.918,-42.7,5228.1,0
56,blue-collar,married,basic.4y,,yes,no,telephone,may,mon,7,999,0,nonexistent,93.994,-36.4,5191.0,0
45,admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,3,999,1,failure,92.201,-31.4,5076.2,0
